Timestamp,H2,He,lat,lon,heading,speed
2024-11-26 09:02:40+00:00,,,59.1024875,9.668316729411766,301.4,11.16
2024-11-26 09:02:41+00:00,,,59.102539138888886,9.668152205555556,290.6,11.7
2024-11-26 09:02:42+00:00,,,59.102577477777785,9.667953427777777,285.3,12.48
2024-11-26 09:02:43+00:00,,,59.10260837222222,9.66773367777778,283.1,13.36
2024-11-26 09:02:44+00:00,,,59.1026371,9.66749240526316,282.8,14.09
2024-11-26 09:02:45+00:00,,,59.10266628333333,9.667241705555556,281.9,14.47
2024-11-26 09:02:46+00:00,,,59.10269302222222,9.66699547222222,281.0,14.45
2024-11-26 09:02:47+00:00,,,59.102717488888885,9.66675063888889,280.2,14.34
2024-11-26 09:02:48+00:00,,,59.102740044444445,9.666507544444446,279.7,14.22
2024-11-26 09:02:49+00:00,,,59.1027618,9.666258773684213,279.8,14.2
2024-11-26 09:02:50+00:00,,,59.102784515789466,9.666001631578949,280.2,14.23
2024-11-26 09:02:51+00:00,,,59.10280692352942,9.665757952941178,280.8,14.3
2024-11-26 09:02:52+00:00,,,59.10283036111111,9.665519616666666,283.7,14.47
2024-11-26 09:02:53+00:00,,,59.10286090555556,9.665275433333331,286.3,14.59
2024-11-26 09:02:54+00:00,,,59.102898384210505,9.66502602105263,289.5,14.62
2024-11-26 09:02:55+00:00,,,59.10294391578948,9.664775810526317,293.5,14.53
2024-11-26 09:02:56+00:00,,,59.10299499411764,9.664547464705883,297.9,14.37
2024-11-26 09:02:57+00:00,,,59.10305347222221,9.664332799999997,301.8,14.3
2024-11-26 09:02:58+00:00,,,59.103119794444446,9.664124316666664,305.5,14.13
2024-11-26 09:02:59+00:00,,,59.10319453157894,9.663919931578947,308.5,14.08
2024-11-26 09:03:00+00:00,,,59.10327433888889,9.66372465,312.2,14.02
2024-11-26 09:03:01+00:00,,,59.10335832222222,9.663544205555556,315.3,14.07
2024-11-26 09:03:02+00:00,,,59.10344814444446,9.663371033333334,319.0,14.13
2024-11-26 09:03:03+00:00,,,59.10354547222222,9.6632061,318.9,14.49
2024-11-26 09:03:04+00:00,,,59.10364437894738,9.663038242105264,318.4,14.42
2024-11-26 09:03:05+00:00,,,59.10374109999999,9.66287103888889,319.3,14.31
2024-11-26 09:03:06+00:00,,,59.10383606666667,9.6627119,320.2,14.28
2024-11-26 09:03:07+00:00,,,59.10393297777777,9.662554844444443,320.0,14.27
2024-11-26 09:03:08+00:00,,,59.10402958888889,9.662396905555552,320.3,14.3
2024-11-26 09:03:09+00:00,,,59.10412864210527,9.662237005263158,321.0,14.22
2024-11-26 09:03:10+00:00,,,59.104227583333326,9.66208123888889,322.0,14.09
2024-11-26 09:03:11+00:00,,,59.10432437222224,9.66193372222222,321.6,14.02
2024-11-26 09:03:12+00:00,,,59.10442103888889,9.66178441111111,320.8,14.02
2024-11-26 09:03:13+00:00,,,59.10451568333334,9.66163418888889,320.8,13.77
2024-11-26 09:03:14+00:00,,,59.104610415789466,9.661483457894736,320.9,13.5
2024-11-26 09:03:15+00:00,,,59.10470439444445,9.661334788888889,320.3,13.34
2024-11-26 09:03:16+00:00,,,59.10479398333333,9.66118988888889,319.1,13.05
2024-11-26 09:03:17+00:00,,,59.10488076111111,9.661043433333331,320.5,12.99
2024-11-26 09:03:18+00:00,,,59.104969099999984,9.660901577777777,321.2,12.76
2024-11-26 09:03:19+00:00,,,59.10505942631579,9.66076030526316,321.0,12.49
2024-11-26 09:03:20+00:00,,,59.10514888888888,9.660619038888887,321.6,12.22
2024-11-26 09:03:21+00:00,,,59.105232527777765,9.660489844444443,322.4,11.41
2024-11-26 09:03:22+00:00,,,59.10530560588236,9.66038040588235,322.9,10.19
2024-11-26 09:03:23+00:00,,,59.10537356842104,9.660280436842106,323.4,9.15
2024-11-26 09:03:24+00:00,,,59.105438584210525,9.660186505263155,323.9,8.36
2024-11-26 09:03:25+00:00,,,59.10549867777778,9.660101094444444,324.2,7.84
2024-11-26 09:03:26+00:00,,,59.10555363529412,9.660023964705882,325.0,7.47
2024-11-26 09:03:27+00:00,,,59.1056065611111,9.659951783333334,327.2,7.03
2024-11-26 09:03:28+00:00,,,59.10566171052631,9.659882631578943,329.7,6.63
2024-11-26 09:03:29+00:00,,,59.105718057894734,9.659818442105262,335.6,6.71
2024-11-26 09:03:30+00:00,,,59.1057774,9.65976595,342.8,6.78
2024-11-26 09:03:31+00:00,,,59.10583606470588,9.659730623529413,343.6,6.9
2024-11-26 09:03:32+00:00,,,59.10589537777778,9.659696588888886,338.4,7.09
2024-11-26 09:03:33+00:00,,,59.105954811111104,9.659650805555556,324.7,7.29
2024-11-26 09:03:34+00:00,,,59.10600986315789,9.65957475263158,310.6,7.59
2024-11-26 09:03:35+00:00,,,59.10605779473685,9.65946589473684,309.2,8.1
2024-11-26 09:03:36+00:00,,,59.10610482941178,9.659353429411768,315.5,8.43
2024-11-26 09:03:37+00:00,,,59.106158488888894,9.659250688888893,322.5,8.65
2024-11-26 09:03:38+00:00,,,59.10622098333334,9.659157205555555,325.8,8.72
2024-11-26 09:03:39+00:00,,,59.10628794736842,9.659068721052632,327.2,8.78
2024-11-26 09:03:40+00:00,,,59.106360378947365,9.65897782631579,327.4,9.23
2024-11-26 09:03:41+00:00,,,59.106432482352936,9.658888011764708,325.7,9.75
2024-11-26 09:03:42+00:00,,,59.10650282777778,9.658794716666668,326.7,9.97
2024-11-26 09:03:43+00:00,,,59.106576244444426,9.658700755555556,328.3,9.98
2024-11-26 09:03:44+00:00,,,59.10665672105263,9.658603836842106,329.0,10.44
2024-11-26 09:03:45+00:00,,,59.10674451052632,9.65850102631579,330.6,10.91
2024-11-26 09:03:46+00:00,,,59.10683330588235,9.658403417647058,332.2,11.18
2024-11-26 09:03:47+00:00,,,59.1069221611111,9.658312294444446,332.6,11.39
2024-11-26 09:03:48+00:00,,,59.10700943888888,9.658224333333331,332.7,10.81
2024-11-26 09:03:49+00:00,,,59.1070981,9.658135042105265,333.9,11.01
2024-11-26 09:03:50+00:00,,,59.1071958,9.658041715789476,332.7,11.25
2024-11-26 09:03:51+00:00,,,59.10728734117647,9.657949564705882,334.1,11.45
2024-11-26 09:03:52+00:00,,,59.10737718333332,9.657864694444443,335.0,11.31
2024-11-26 09:03:53+00:00,,,59.10746829444444,9.657782072222224,335.2,11.19
2024-11-26 09:03:54+00:00,,,59.10755648421052,9.657702610526314,334.5,10.85
2024-11-26 09:03:55+00:00,,,59.1076443,9.657621177777775,335.4,10.6
2024-11-26 09:03:56+00:00,,,59.10773196111112,9.657543066666666,335.8,10.55
2024-11-26 09:03:57+00:00,,,59.10782097777779,9.657465144444444,336.2,10.82
2024-11-26 09:03:58+00:00,,,59.10791287222222,9.657386155555557,336.5,11.02
2024-11-26 09:03:59+00:00,,,59.10800858421052,9.657305105263156,336.3,11.18
2024-11-26 09:04:00+00:00,,,59.10810265555555,9.657224644444446,336.4,11.22
2024-11-26 09:04:01+00:00,,,59.10819435,9.657146527777776,336.5,11.1
2024-11-26 09:04:02+00:00,,,59.10828550555557,9.65706936111111,336.9,10.92
2024-11-26 09:04:03+00:00,,,59.10837649444446,9.656993616666666,337.1,10.72
2024-11-26 09:04:04+00:00,,,59.108466272222216,9.65691973888889,337.0,10.49
2024-11-26 09:04:05+00:00,,,59.10855594210527,9.656845563157896,337.4,10.2
2024-11-26 09:04:06+00:00,,,59.10864588888889,9.656772733333334,337.2,10.18
2024-11-26 09:04:07+00:00,,,59.108733761111125,9.656700955555555,337.2,10.45
2024-11-26 09:04:08+00:00,,,59.108826326315786,9.656625121052633,336.7,10.88
2024-11-26 09:04:09+00:00,,,59.10891888235294,9.656547470588237,337.0,11.05
2024-11-26 09:04:10+00:00,,,59.10901306111111,9.656469505555556,337.2,11.36
2024-11-26 09:04:11+00:00,,,59.10910845555556,9.656391394444444,336.8,11.45
2024-11-26 09:04:12+00:00,,,59.10920261666666,9.656312772222222,337.5,11.31
2024-11-26 09:04:13+00:00,,,59.10929714444445,9.656236327777778,337.3,11.21
2024-11-26 09:04:14+00:00,,,59.109392968421055,9.656158242105263,336.2,11.23
2024-11-26 09:04:15+00:00,,,59.10948911666666,9.656075622222222,334.8,11.46
2024-11-26 09:04:16+00:00,,,59.10958411666666,9.655988561111112,334.6,11.71
2024-11-26 09:04:17+00:00,,,59.10967831176471,9.65590134117647,334.5,11.94
2024-11-26 09:04:18+00:00,,,59.10977539473684,9.655811031578947,334.3,11.98
2024-11-26 09:04:19+00:00,,,59.109878300000005,9.655714573684213,334.4,11.99
2024-11-26 09:04:20+00:00,,,59.10998091111112,9.655618922222224,333.4,12.15
2024-11-26 09:04:21+00:00,,,59.11008027777777,9.655521916666665,333.0,12.38
2024-11-26 09:04:22+00:00,,,59.11017755294117,9.65542541764706,331.5,12.6
2024-11-26 09:04:23+00:00,,,59.11027757894737,9.655319815789476,331.2,12.84
2024-11-26 09:04:24+00:00,,,59.11038490000001,9.655204773684211,330.9,12.88
2024-11-26 09:04:25+00:00,,,59.11048847777777,9.655092427777776,330.6,12.84
2024-11-26 09:04:26+00:00,,,59.11058599411764,9.654985488235292,330.2,12.81
2024-11-26 09:04:27+00:00,,,59.11068257222222,9.654877966666668,330.1,12.82
2024-11-26 09:04:28+00:00,,,59.11078254444445,9.65476585,330.1,13.01
2024-11-26 09:04:29+00:00,,,59.11088637894736,9.654649515789473,329.9,13.05
2024-11-26 09:04:30+00:00,,,59.110993947368414,9.654527842105262,329.3,13.2
2024-11-26 09:04:31+00:00,,,59.11109562941176,9.654410429411762,328.9,13.16
2024-11-26 09:04:32+00:00,,,59.11119360555555,9.654295238888889,329.0,13.13
2024-11-26 09:04:33+00:00,,,59.11129565555555,9.654175827777776,328.9,13.29
2024-11-26 09:04:34+00:00,,,59.11140055789474,9.65405267368421,328.8,13.3
2024-11-26 09:04:35+00:00,,,59.11150946315789,9.653924173684208,329.1,13.41
2024-11-26 09:04:36+00:00,,,59.11161233529412,9.65380442352941,328.7,13.47
2024-11-26 09:04:37+00:00,,,59.11171268333333,9.653685494444444,329.7,13.52
